 ,Area,Mean,Min,Max
1,255,255,255,255
2,426,255,255,255
3,303,255,255,255
4,256,255,255,255
5,441,255,255,255
6,253,255,255,255
7,327,255,255,255
8,417,255,255,255
9,259,255,255,255
10,441,255,255,255
11,280,255,255,255
12,234,255,255,255
13,247,255,255,255
14,253,255,255,255
15,313,255,255,255
16,309,255,255,255
17,377,255,255,255
18,249,255,255,255
19,309,255,255,255
20,426,255,255,255
21,255,255,255,255
22,260,255,255,255
23,248,255,255,255
24,249,255,255,255
25,312,255,255,255
26,341,255,255,255
27,290,255,255,255
28,365,255,255,255
29,380,255,255,255
30,252,255,255,255
31,308,255,255,255
32,432,255,255,255
33,296,255,255,255
34,312,255,255,255
35,300,255,255,255
36,255,255,255,255
37,334,255,255,255
38,275,255,255,255
39,287,255,255,255
40,209,255,255,255
41,342,255,255,255
42,256,255,255,255
43,326,255,255,255
44,348,255,255,255
45,388,255,255,255
46,323,255,255,255
47,406,255,255,255
48,280,255,255,255
49,245,255,255,255
50,240,255,255,255
51,264,255,255,255
52,435,255,255,255
53,347,255,255,255
54,252,255,255,255
55,310,255,255,255
56,480,255,255,255
57,465,255,255,255
58,320,255,255,255
59,470,255,255,255
60,464,255,255,255
61,360,255,255,255
62,269,255,255,255
63,241,255,255,255
64,317,255,255,255
65,265,255,255,255
66,246,255,255,255
67,308,255,255,255
68,319,255,255,255
69,237,255,255,255
70,457,255,255,255
71,236,255,255,255
72,321,255,255,255
73,241,255,255,255
74,300,255,255,255
75,477,255,255,255
76,362,255,255,255
77,250,255,255,255
78,290,255,255,255
79,340,255,255,255
80,300,255,255,255
81,306,255,255,255
82,272,255,255,255
83,256,255,255,255
84,257,255,255,255
85,429,255,255,255
86,153,255,255,255
87,475,255,255,255
88,324,255,255,255
89,299,255,255,255
90,444,255,255,255
91,297,255,255,255
92,272,255,255,255
93,322,255,255,255
94,336,255,255,255
95,217,255,255,255
96,311,255,255,255
97,246,255,255,255
98,376,255,255,255
99,303,255,255,255
100,239,255,255,255
101,360,255,255,255
102,309,255,255,255
103,250,255,255,255
104,203,255,255,255
105,344,255,255,255
106,412,255,255,255
107,287,255,255,255
108,337,255,255,255
109,440,255,255,255
110,357,255,255,255
111,342,255,255,255
112,315,255,255,255
113,370,255,255,255
114,214,255,255,255
115,330,255,255,255
116,256,255,255,255
117,415,255,255,255
118,246,255,255,255
119,274,255,255,255
120,393,255,255,255
121,373,255,255,255
122,283,255,255,255
123,285,255,255,255
124,416,255,255,255
125,246,255,255,255
126,312,255,255,255
127,347,255,255,255
128,334,255,255,255
129,259,255,255,255
130,216,255,255,255
131,465,255,255,255
132,290,255,255,255
133,398,255,255,255
134,197,255,255,255
135,224,255,255,255
136,228,255,255,255
137,479,255,255,255
138,277,255,255,255
139,421,255,255,255
140,267,255,255,255
141,290,255,255,255
142,314,255,255,255
143,310,255,255,255
144,364,255,255,255
145,341,255,255,255
146,238,255,255,255
147,283,255,255,255
148,315,255,255,255
149,280,255,255,255
150,289,255,255,255
151,255,255,255,255
152,361,255,255,255
153,389,255,255,255
154,472,255,255,255
155,389,255,255,255
156,314,255,255,255
157,318,255,255,255
158,401,255,255,255
159,342,255,255,255
160,410,255,255,255
161,194,255,255,255
162,158,255,255,255
163,322,255,255,255
164,494,255,255,255
165,350,255,255,255
166,324,255,255,255
167,223,255,255,255
168,272,255,255,255
169,271,255,255,255
170,302,255,255,255
171,176,255,255,255
172,323,255,255,255
173,277,255,255,255
174,275,255,255,255
175,294,255,255,255
176,316,255,255,255
177,477,255,255,255
178,187,255,255,255
179,244,255,255,255
180,389,255,255,255
181,237,255,255,255
182,271,255,255,255
183,196,255,255,255
184,327,255,255,255
185,361,255,255,255
186,286,255,255,255
187,270,255,255,255
188,106,255,255,255
189,207,255,255,255
190,401,255,255,255
191,296,255,255,255
192,354,255,255,255
193,281,255,255,255
194,269,255,255,255
195,480,255,255,255
196,235,255,255,255
197,251,255,255,255
198,292,255,255,255
199,393,255,255,255
200,359,255,255,255
201,382,255,255,255
202,345,255,255,255
203,259,255,255,255
204,361,255,255,255
205,369,255,255,255
206,308,255,255,255
207,462,255,255,255
208,421,255,255,255
209,394,255,255,255
210,148,255,255,255
211,322,255,255,255
212,310,255,255,255
213,429,255,255,255
214,305,255,255,255
215,344,255,255,255
216,324,255,255,255
217,446,255,255,255
218,367,255,255,255
219,257,255,255,255
220,203,255,255,255
221,271,255,255,255
222,373,255,255,255
223,312,255,255,255
224,240,255,255,255
225,218,255,255,255
226,154,255,255,255
227,176,255,255,255
228,217,255,255,255
229,366,255,255,255
230,332,255,255,255
231,169,255,255,255
232,290,255,255,255
233,360,255,255,255
234,231,255,255,255
235,218,255,255,255
236,373,255,255,255
237,291,255,255,255
238,370,255,255,255
239,217,255,255,255
240,281,255,255,255
241,426,255,255,255
242,204,255,255,255
243,395,255,255,255
244,259,255,255,255
245,333,255,255,255
246,339,255,255,255
247,298,255,255,255
248,354,255,255,255
249,308,255,255,255
250,148,255,255,255
251,236,255,255,255
252,315,255,255,255
253,157,255,255,255
254,420,255,255,255
255,119,255,255,255
256,370,255,255,255
257,141,255,255,255
258,153,255,255,255
259,265,255,255,255
260,132,255,255,255
261,199,255,255,255
262,363,255,255,255
263,358,255,255,255
264,356,255,255,255
265,314,255,255,255
266,226,255,255,255
267,404,255,255,255
268,229,255,255,255
269,474,255,255,255
270,336,255,255,255
271,368,255,255,255
272,226,255,255,255
273,498,255,255,255
274,212,255,255,255
275,211,255,255,255
276,451,255,255,255
277,113,255,255,255
278,188,255,255,255
279,399,255,255,255
280,357,255,255,255
281,388,255,255,255
282,442,255,255,255
283,312,255,255,255
284,439,255,255,255
285,171,255,255,255
286,459,255,255,255
287,323,255,255,255
288,353,255,255,255
289,294,255,255,255
290,246,255,255,255
291,340,255,255,255
292,167,255,255,255
293,374,255,255,255
294,283,255,255,255
295,414,255,255,255
296,163,255,255,255
297,358,255,255,255
298,224,255,255,255
299,286,255,255,255
300,318,255,255,255
301,388,255,255,255
302,283,255,255,255
303,212,255,255,255
304,331,255,255,255
305,366,255,255,255
306,229,255,255,255
307,228,255,255,255
308,203,255,255,255
309,214,255,255,255
310,325,255,255,255
311,334,255,255,255
312,288,255,255,255
313,385,255,255,255
314,255,255,255,255
315,262,255,255,255
316,495,255,255,255
317,275,255,255,255
318,357,255,255,255
319,360,255,255,255
